il_kod,ilce_kod,il_adi,ilce_adi,gida_mevcut,gida_tahmin,gida_tahmin_yuvarlak,gida_fark,gida_durumu,nufus_18plus,yuzolcum,toplam_hayvan_2024,denetim_sayisi,tarim_alani_2024
6,1922,Ankara,Etimesgut,11.0,10.727308,11,0.0,dengede,457662,,309,10121.0,54703.0
6,1924,Ankara,Evren,0.0,0.0,0,0.0,dengede,2594,,327,59.0,138526.0
6,1744,Ankara,Gölbaþý,7.0,4.141029,4,3.0,norm_fazlasi,125765,,527,3772.0,824019.0
6,1365,Ankara,Güdül,0.0,0.01995711,0,0.0,dengede,7683,,328,293.0,288524.0
6,1387,Ankara,Haymana,3.0,1.1245126,1,2.0,norm_fazlasi,22234,,497,517.0,1335507.0
6,1815,Ankara,Kahramankazan,4.0,4.2671885,4,0.0,dengede,44785,,496,2939.0,261886.0
6,1427,Ankara,Kalecik,1.0,1.0955653,1,0.0,dengede,10024,,580,418.0,490129.0
6,1745,Ankara,Keçiören,15.0,13.406988,13,2.0,dengede,711423,,250,12605.0,25555.0
6,1473,Ankara,Kýzýlcahamam,1.0,1.4959773,1,0.0,dengede,24099,,315,800.0,103480.0
6,1746,Ankara,Mamak,7.0,10.103645,10,-3.0,norm_eksigi,519955,,356,8620.0,66781.0
6,1539,Ankara,Nallýhan,1.0,1.3225847,1,0.0,dengede,19724,,530,808.0,413407.0
6,1578,Ankara,Polatlý,2.0,3.2880135,3,-1.0,norm_eksigi,94981,,500,3269.0,2214535.0
6,2034,Ankara,Pursaklar,4.0,3.442414,3,1.0,norm_fazlasi,118517,,349,2706.0,68836.0
6,1747,Ankara,Sincan,7.0,8.864474,9,-2.0,norm_eksigi,435135,,546,7957.0,506417.0
6,1658,Ankara,Þereflikoçhisar,1.0,1.1281875,1,0.0,dengede,26049,,462,840.0,963713.0
6,1723,Ankara,Yenimahalle,21.0,14.0446,14,7.0,norm_fazlasi,553961,,266,15474.0,54436.0
7,1121,Antalya,Akseki,0.0,0.02597157,0,0.0,dengede,8605,,313,155.0,15403.0
7,2035,Antalya,Aksu,3.0,2.0751576,2,1.0,norm_fazlasi,62680,,497,1107.0,173323.0
7,1126,Antalya,Alanya,7.0,7.151031,7,0.0,dengede,259406,,407,7058.0,193579.0
7,1811,Antalya,Demre,2.0,1.4340496,1,1.0,norm_fazlasi,21601,,230,1299.0,30902.0
7,2036,Antalya,Döþemealtý,2.0,2.689205,3,-1.0,norm_eksigi,69911,,543,1509.0,106698.0
7,1303,Antalya,Elmalý,1.0,1.5704123,2,-1.0,norm_eksigi,31255,,449,1000.0,466070.0
7,1333,Antalya,Finike,3.0,2.2606254,2,1.0,norm_fazlasi,28059,,294,1294.0,68337.0
7,1337,Antalya,Gazipaþa,3.0,2.433288,2,1.0,norm_fazlasi,44520,,431,2004.0,102696.0
7,1370,Antalya,Gündoðmuþ,1.0,0.55635256,1,0.0,dengede,6903,,249,57.0,12484.0
7,1946,Antalya,Ýbradý,0.0,0.0023261234,0,0.0,dengede,3646,,269,56.0,4909.0
7,1451,Antalya,Kaþ,2.0,2.2357395,2,0.0,dengede,32399,,380,1842.0,123503.0
7,1959,Antalya,Kemer,4.0,2.3734562,2,2.0,norm_fazlasi,34554,,331,1703.0,15669.0
7,2037,Antalya,Kepez,9.0,9.630838,10,-1.0,dengede,475805,,473,7086.0,61645.0
7,2038,Antalya,Konyaaltý,7.0,5.04203,5,2.0,norm_fazlasi,155728,,379,3497.0,35146.0
7,1483,Antalya,Korkuteli,2.0,1.9322546,2,0.0,dengede,47023,,496,1374.0,1016218.0
