il_kod,ilce_kod,il_adi,ilce_adi,ziraat_mevcut,ziraat_tahmin,ziraat_tahmin_yuvarlak,ziraat_fark,ziraat_durumu,nufus_18plus,yuzolcum,toplam_hayvan_2024,denetim_sayisi,tarim_alani_2024
6,1578,Ankara,Polatlý,24.0,22.67326,23,1.0,dengede,94981,,500,3269.0,2214535.0
6,2034,Ankara,Pursaklar,17.0,12.244473,12,5.0,norm_fazlasi,118517,,349,2706.0,68836.0
6,1747,Ankara,Sincan,25.0,27.9112,28,-3.0,dengede,435135,,546,7957.0,506417.0
6,1658,Ankara,Þereflikoçhisar,7.0,12.44205,12,-5.0,norm_eksigi,26049,,462,840.0,963713.0
6,1723,Ankara,Yenimahalle,25.0,20.241283,20,5.0,norm_fazlasi,553961,,266,15474.0,54436.0
7,1121,Antalya,Akseki,5.0,4.697927,5,0.0,dengede,8605,,313,155.0,15403.0
7,2035,Antalya,Aksu,37.0,12.33322,12,25.0,norm_fazlasi,62680,,497,1107.0,173323.0
7,1126,Antalya,Alanya,34.0,21.951801,22,12.0,norm_fazlasi,259406,,407,7058.0,193579.0
7,1811,Antalya,Demre,14.0,11.782549,12,2.0,dengede,21601,,230,1299.0,30902.0
7,2036,Antalya,Döþemealtý,16.0,14.224679,14,2.0,dengede,69911,,543,1509.0,106698.0
7,1303,Antalya,Elmalý,17.0,12.363562,12,5.0,norm_fazlasi,31255,,449,1000.0,466070.0
7,1333,Antalya,Finike,17.0,10.6888,11,6.0,norm_fazlasi,28059,,294,1294.0,68337.0
7,1337,Antalya,Gazipaþa,23.0,13.843059,14,9.0,norm_fazlasi,44520,,431,2004.0,102696.0
7,1370,Antalya,Gündoðmuþ,4.0,4.6492915,5,-1.0,norm_eksigi,6903,,249,57.0,12484.0
7,1946,Antalya,Ýbradý,4.0,3.3031747,3,1.0,norm_fazlasi,3646,,269,56.0,4909.0
7,1451,Antalya,Kaþ,15.0,13.827616,14,1.0,dengede,32399,,380,1842.0,123503.0
7,1959,Antalya,Kemer,9.0,9.112881,9,0.0,dengede,34554,,331,1703.0,15669.0
7,2037,Antalya,Kepez,37.0,20.589603,21,16.0,norm_fazlasi,475805,,473,7086.0,61645.0
7,2038,Antalya,Konyaaltý,15.0,15.036223,15,0.0,dengede,155728,,379,3497.0,35146.0
7,1483,Antalya,Korkuteli,24.0,15.417126,15,9.0,norm_fazlasi,47023,,496,1374.0,1016218.0
7,1492,Antalya,Kumluca,23.0,14.441702,14,9.0,norm_fazlasi,58061,,346,1686.0,92772.0
7,1512,Antalya,Manavgat,30.0,24.621288,25,5.0,norm_fazlasi,249296,,665,5739.0,386092.0
7,2039,Antalya,Muratpaþa,13.0,15.77254,16,-3.0,dengede,400613,,316,11104.0,7790.0
7,1616,Antalya,Serik,35.0,22.878113,23,12.0,norm_fazlasi,104101,,631,2131.0,359045.0
75,1252,Ardahan,Çýldýr,5.0,3.4316065,3,2.0,norm_fazlasi,1819,,203,79.0,135170.0
75,2008,Ardahan,Damal,2.0,4.1246166,4,-2.0,norm_eksigi,2223,,156,106.0,56158.0
75,1356,Ardahan,Göle,6.0,3.77953,4,2.0,norm_fazlasi,6620,,187,318.0,207020.0
75,1380,Ardahan,Hanak,5.0,4.223424,4,1.0,norm_fazlasi,2202,,151,96.0,110420.0
75,1579,Ardahan,Posof,3.0,2.2862318,2,1.0,norm_fazlasi,1564,,227,135.0,41398.0
8,1145,Artvin,Ardanuç,4.0,4.579752,5,-1.0,norm_eksigi,4316,,294,146.0,46227.0
8,1147,Artvin,Arhavi,8.0,7.519098,8,0.0,dengede,13351,,212,824.0,40392.0
8,1202,Artvin,Borçka,5.0,4.073554,4,1.0,norm_fazlasi,8206,,195,272.0,84152.0
8,1395,Artvin,Hopa,6.0,4.653153,5,1.0,norm_fazlasi,17540,,201,514.0,33629.0
8,2105,Artvin,Kemalpaþa,4.0,3.5386846,4,0.0,dengede,4997,,152,316.0,21112.0
8,1828,Artvin,Murgul,2.0,3.8481052,4,-2.0,norm_eksigi,3970,,218,71.0,12469.0
8,1653,Artvin,Þavþat,2.0,1.7812959,2,0.0,dengede,5748,,218,199.0,30031.0
9,1206,Aydýn,Bozdoðan,10.0,11.081828,11,-1.0,dengede,26564,,585,718.0,271057.0
9,1781,Aydýn,Buharkent,4.0,5.903975,6,-2.0,norm_eksigi,10092,,415,306.0,35563.0
9,1256,Aydýn,Çine,11.0,13.089073,13,-2.0,dengede,40046,,572,1303.0,339306.0
9,2000,Aydýn,Didim,16.0,13.206605,13,3.0,norm_fazlasi,81769,,468,2099.0,123036.0
9,2076,Aydýn,Efeler,29.0,24.724735,25,4.0,dengede,238106,,592,6460.0,352953.0
9,1348,Aydýn,Germencik,11.0,12.490781,12,-1.0,dengede,33539,,444,1274.0,254250.0
9,1807,Aydýn,Ýncirliova,14.0,11.143114,11,3.0,norm_fazlasi,41805,,479,861.0,133970.0
9,1435,Aydýn,Karacasu,7.0,8.43529,8,-1.0,dengede,14465,,425,329.0,221754.0
9,1957,Aydýn,Karpuzlu,9.0,6.982467,7,2.0,norm_fazlasi,9055,,435,245.0,140823.0
9,1479,Aydýn,Koçarlý,13.0,10.032162,10,3.0,norm_fazlasi,18929,,453,632.0,221064.0
9,1968,Aydýn,Köþk,8.0,9.098864,9,-1.0,dengede,22811,,398,669.0,130978.0
9,1497,Aydýn,Kuþadasý,14.0,12.670207,13,1.0,dengede,112270,,335,3016.0,59771.0
9,1498,Aydýn,Kuyucak,12.0,8.956336,9,3.0,norm_fazlasi,22039,,484,518.0,182993.0
9,1542,Aydýn,Nazilli,18.0,20.27987,20,-2.0,dengede,128377,,526,2901.0,304150.0
9,1637,Aydýn,Söke,22.0,20.506935,21,1.0,dengede,95945,,533,2385.0,646309.0
9,1640,Aydýn,Sultanhisar,14.0,9.831663,10,4.0,norm_fazlasi,16016,,442,893.0,154217.0
9,1724,Aydýn,Yenipazar,7.0,7.88393,8,-1.0,dengede,9814,,426,271.0,105718.0
10,2077,Balýkesir,Altýeylül,21.0,19.020588,19,2.0,dengede,148506,,560,3126.0,281664.0
10,1161,Balýkesir,Ayvalýk,9.0,15.762063,16,-7.0,norm_eksigi,62817,,427,2935.0,194494.0
10,1169,Balýkesir,Balya,4.0,6.4814057,6,-2.0,norm_eksigi,12054,,369,307.0,68724.0
10,1171,Balýkesir,Bandýrma,20.0,19.818813,20,0.0,dengede,133155,,514,2716.0,347384.0
10,1191,Balýkesir,Bigadiç,14.0,10.422727,10,4.0,norm_fazlasi,44996,,502,830.0,282339.0
10,1216,Balýkesir,Burhaniye,13.0,13.291248,13,0.0,dengede,57292,,386,1752.0,186573.0
10,1291,Balýkesir,Dursunbey,7.0,10.139488,10,-3.0,norm_eksigi,28647,,488,818.0,155497.0
10,1294,Balýkesir,Edremit,16.0,17.378902,17,-1.0,dengede,123817,,277,4236.0,214317.0
10,1310,Balýkesir,Erdek,8.0,9.813171,10,-2.0,norm_eksigi,28097,,354,1193.0,54980.0
10,1928,Balýkesir,Gömeç,9.0,8.745061,9,0.0,dengede,13757,,331,672.0,132423.0
10,1360,Balýkesir,Gönen,17.0,18.68665,19,-2.0,dengede,66301,,575,1933.0,399490.0
10,1384,Balýkesir,Havran,9.0,9.04647,9,0.0,dengede,25769,,341,678.0,148018.0
10,1418,Balýkesir,Ývrindi,8.0,9.78581,10,-2.0,norm_eksigi,27286,,467,827.0,121830.0
10,2078,Balýkesir,Karesi,14.0,20.123625,20,-6.0,norm_eksigi,149659,,457,3476.0,152339.0
10,1462,Balýkesir,Kepsut,7.0,9.575511,10,-3.0,norm_eksigi,19704,,478,654.0,159559.0
10,1514,Balýkesir,Manyas,9.0,9.734254,10,-1.0,dengede,15587,,484,472.0,314015.0
10,1824,Balýkesir,Marmara,2.0,3.398793,3,-1.0,norm_eksigi,7333,,244,832.0,11382.0
10,1608,Balýkesir,Savaþtepe,2.0,3.7150948,4,-2.0,norm_eksigi,13612,,488,248.0,176484.0
10,1619,Balýkesir,Sýndýrgý,8.0,10.923226,11,-3.0,norm_eksigi,26566,,509,694.0,199851.0
10,1644,Balýkesir,Susurluk,8.0,10.2660475,10,-2.0,norm_eksigi,30790,,518,838.0,253234.0
74,1761,Bartýn,Amasra,5.0,3.770406,4,1.0,norm_fazlasi,4995,,311,425.0,20346.0
74,1496,Bartýn,Kurucaþile,4.0,2.72147,3,1.0,norm_fazlasi,1847,,307,106.0,17767.0
74,1701,Bartýn,Ulus,2.0,3.934786,4,-2.0,norm_eksigi,8826,,394,323.0,51637.0
72,1184,Batman,Beþiri,13.0,8.74952,9,4.0,norm_fazlasi,11989,,292,142.0,363840.0
72,1345,Batman,Gercüþ,9.0,4.5296035,5,4.0,norm_fazlasi,5899,,247,107.0,132635.0
72,1941,Batman,Hasankeyf,9.0,3.8031857,4,5.0,norm_fazlasi,2885,,221,30.0,22062.0
72,1487,Batman,Kozluk,12.0,8.214279,8,4.0,norm_fazlasi,19353,,310,409.0,260589.0
