il_kod,ilce_kod,il_adi,ilce_adi,nufus_18plus,yuzolcum,toplam_hayvan_2024,veteriner_hekim,veteriner_tahmini_norm,veteriner_tahmini_norm_yuvarlak,veteriner_norm_farki,veteriner_durumu,gida_muhendisi,gida_tahmini_norm,gida_tahmini_norm_yuvarlak,gida_norm_farki,gida_durumu,ziraat_muhendisi,ziraat_tahmini_norm,ziraat_tahmini_norm_yuvarlak,ziraat_norm_farki,ziraat_durumu
52,1706,Ordu,Ünye,100401,,246,7.0,9.378546,9,-2.0,norm_eksigi,2.0,2.6451042,3,-1.0,norm_eksigi,17.0,18.024805,18,-1.0,dengede
80,1165,Osmaniye,Bahçe,10718,,325,5.0,3.6729555,4,1.0,norm_fazlasi,1.0,1.4780986,1,0.0,dengede,7.0,4.7881174,5,2.0,norm_fazlasi
80,1743,Osmaniye,Düziçi,49246,,452,9.0,7.5105753,8,1.0,dengede,2.0,1.9229891,2,0.0,dengede,10.0,11.110688,11,-1.0,dengede
80,2027,Osmaniye,Hasanbeyli,2170,,262,3.0,2.637778,3,0.0,dengede,0.0,0.0,0,0.0,dengede,3.0,3.3848467,3,0.0,dengede
80,1423,Osmaniye,Kadirli,81372,,479,14.0,12.792252,13,1.0,dengede,2.0,2.4699857,2,0.0,dengede,32.0,21.376938,21,11.0,norm_fazlasi
80,2028,Osmaniye,Sumbas,3459,,325,5.0,3.493896,3,2.0,norm_fazlasi,0.0,0.016409554,0,0.0,dengede,10.0,5.751578,6,4.0,norm_fazlasi
80,2029,Osmaniye,Toprakkale,15093,,311,6.0,4.18511,4,2.0,norm_fazlasi,0.0,0.043675944,0,0.0,dengede,6.0,7.641483,8,-2.0,norm_eksigi
53,1146,Rize,Ardeþen,24565,,253,1.0,3.241803,3,-2.0,norm_eksigi,0.0,0.03454569,0,0.0,dengede,6.0,8.887904,9,-3.0,norm_eksigi
53,1228,Rize,Çamlýhemþin,1641,,189,1.0,2.0796423,2,-1.0,norm_eksigi,0.0,0.012369975,0,0.0,dengede,3.0,2.8749132,3,0.0,dengede
53,1241,Rize,Çayeli,21962,,214,4.0,3.5026586,4,0.0,dengede,0.0,0.02457992,0,0.0,dengede,7.0,6.9542403,7,0.0,dengede
53,1908,Rize,Derepazarý,3092,,197,4.0,2.3694863,2,2.0,norm_fazlasi,0.0,0.0,0,0.0,dengede,4.0,3.8620644,4,0.0,dengede
53,1332,Rize,Fýndýklý,9419,,236,2.0,2.8111138,3,-1.0,norm_eksigi,0.0,0.011509851,0,0.0,dengede,5.0,4.6329756,5,0.0,dengede
53,1796,Rize,Güneysu,6443,,204,2.0,2.4045892,2,0.0,dengede,0.0,0.00042904168,0,0.0,dengede,3.0,4.301568,4,-1.0,norm_eksigi
53,1943,Rize,Hemþin,1179,,178,3.0,2.1226652,2,1.0,norm_fazlasi,0.0,0.0,0,0.0,dengede,3.0,2.8691926,3,0.0,dengede
53,1405,Rize,Ýkizdere,1524,,193,2.0,2.028883,2,0.0,dengede,0.0,0.0,0,0.0,dengede,2.0,2.7411082,3,-1.0,norm_eksigi
53,1949,Rize,Ýyidere,4291,,215,3.0,2.5185468,3,0.0,dengede,0.0,0.021187581,0,0.0,dengede,4.0,3.7440708,4,0.0,dengede
53,1428,Rize,Kalkandere,5971,,209,1.0,2.7623947,3,-2.0,norm_eksigi,0.0,0.019375347,0,0.0,dengede,3.0,3.700278,4,-1.0,norm_eksigi
53,1569,Rize,Pazar,12939,,246,1.0,2.714249,3,-2.0,norm_eksigi,0.0,0.017600775,0,0.0,dengede,5.0,6.6574507,7,-2.0,norm_eksigi
54,2068,Sakarya,Adapazarý,211991,,408,9.0,12.567794,13,-4.0,norm_eksigi,5.0,5.861292,6,-1.0,dengede,12.0,18.492882,18,-6.0,norm_eksigi
54,1123,Sakarya,Akyazý,71719,,314,5.0,7.530119,8,-3.0,norm_eksigi,1.0,1.9394302,2,-1.0,norm_eksigi,8.0,14.037831,14,-6.0,norm_eksigi
54,2069,Sakarya,Arifiye,39246,,230,2.0,3.7418292,4,-2.0,norm_eksigi,1.0,1.8427681,2,-1.0,norm_eksigi,5.0,6.730789,7,-2.0,norm_eksigi
54,2070,Sakarya,Erenler,67248,,395,7.0,7.2966766,7,0.0,dengede,4.0,2.8360722,3,1.0,norm_fazlasi,9.0,10.873807,11,-2.0,dengede
54,1925,Sakarya,Ferizli,27649,,244,3.0,3.8594668,4,-1.0,norm_eksigi,0.0,0.020407878,0,0.0,dengede,4.0,6.5959215,7,-3.0,norm_eksigi
54,1351,Sakarya,Geyve,40465,,350,3.0,5.5096807,6,-3.0,norm_eksigi,1.0,1.3741505,1,0.0,dengede,7.0,9.862165,10,-3.0,norm_eksigi
54,1391,Sakarya,Hendek,75069,,325,5.0,7.033019,7,-2.0,norm_eksigi,0.0,0.10234759,0,0.0,dengede,8.0,15.023093,15,-7.0,norm_eksigi
54,1955,Sakarya,Karapürçek,8905,,222,3.0,3.0349836,3,0.0,dengede,0.0,0.015872322,0,0.0,dengede,1.0,5.9075646,6,-5.0,norm_eksigi
