il_adi,ilce_adi,nufus_18plus,yuzolcum,toplam_hayvan_2024,veteriner_hekim,veteriner_tahmini_norm_yuvarlak,veteriner_norm_farki,veteriner_durumu,gida_muhendisi,gida_tahmini_norm_yuvarlak,gida_norm_farki,gida_durumu,ziraat_muhendisi,ziraat_tahmini_norm_yuvarlak,ziraat_norm_farki,ziraat_durumu
Çorum,Uðurludað,2466,,445,1.0,4.0,-3.2014558369507693,norm_eksigi,,0.0,,belirsiz,3.0,7.0,-3.9348887417675362,norm_eksigi
Denizli,Acýpayam,43511,,502,14.0,10.0,3.841266877561342,norm_fazlasi,2.0,2.0,-0.4486012133251549,dengede,13.0,12.0,0.6815193276669564,dengede
Denizli,Babadað,3690,,250,4.0,3.0,0.9523793253333444,dengede,,1.0,,belirsiz,5.0,6.0,-0.5496455777760225,dengede
Denizli,Baklan,4165,,434,4.0,5.0,-0.8318354803168138,dengede,,0.0,,belirsiz,4.0,8.0,-3.621896386129774,norm_eksigi
Denizli,Bekilli,5692,,321,2.0,4.0,-2.2071537686793503,norm_eksigi,,1.0,,belirsiz,5.0,7.0,-1.8108939398868582,norm_eksigi
Denizli,Beyaðaç,5099,,316,4.0,4.0,0.24756997770765743,dengede,,1.0,,belirsiz,3.0,6.0,-3.4023931053486507,norm_eksigi
Denizli,Bozkurt,9434,,479,4.0,6.0,-1.909437915791254,norm_eksigi,,1.0,,belirsiz,6.0,9.0,-2.937817114642968,norm_eksigi
Denizli,Buldan,24269,,515,5.0,7.0,-2.134684015833895,norm_eksigi,1.0,2.0,-0.5998790776676961,dengede,7.0,10.0,-3.0890090070898903,norm_eksigi
Denizli,Çal,11386,,471,6.0,7.0,-0.9691509526567295,dengede,,1.0,,belirsiz,5.0,10.0,-4.800208158379757,norm_eksigi
Denizli,Çameli,14054,,468,7.0,6.0,0.6330647101212037,dengede,1.0,1.0,-0.35829320726620484,dengede,9.0,9.0,-0.20722953966329527,dengede
Denizli,Çardak,6766,,446,5.0,5.0,-0.26319153449366084,dengede,,1.0,,belirsiz,4.0,8.0,-4.159400674426044,norm_eksigi
Denizli,Çivril,49363,,502,10.0,11.0,-1.4813428887865925,dengede,2.0,3.0,-0.5025593361963496,dengede,14.0,13.0,0.9333792446990898,dengede
Denizli,Güney,7254,,430,4.0,5.0,-1.2557188702777857,norm_eksigi,,1.0,,belirsiz,4.0,8.0,-4.163020180220631,norm_eksigi
Denizli,Honaz,28937,,491,10.0,7.0,2.991905483366664,norm_fazlasi,1.0,2.0,-0.9123625644195221,dengede,11.0,10.0,0.9826964219500471,dengede
Denizli,Kale,16225,,458,5.0,6.0,-1.1591358741621445,dengede,,1.0,,belirsiz,6.0,9.0,-3.15660158874471,norm_eksigi
Denizli,Merkezefendi,257177,,417,11.0,10.0,1.4210686394339884,dengede,6.0,7.0,-0.5876633411385601,dengede,16.0,13.0,3.1366777510389596,norm_fazlasi
Denizli,Pamukkale,266391,,507,13.0,12.0,1.1643765927460255,dengede,9.0,7.0,1.6827281203248114,norm_fazlasi,15.0,15.0,-0.1232763888082804,dengede
Denizli,Sarayköy,24348,,417,7.0,6.0,0.7995520632346622,dengede,2.0,2.0,0.2757338589487126,dengede,14.0,9.0,4.9619557481293715,norm_fazlasi
Denizli,Serinhisar,11942,,445,6.0,6.0,-0.27595194113465915,dengede,1.0,2.0,-0.6801214851387443,dengede,3.0,9.0,-5.98552154648884,norm_eksigi
Denizli,Tavas,37607,,535,9.0,9.0,-0.29814571606559426,dengede,1.0,2.0,-1.1309467518274747,norm_eksigi,11.0,12.0,-0.9365578109797958,dengede
Diyarbakýr,Baðlar,251070,,296,13.0,10.0,2.7272889815967645,norm_fazlasi,9.0,5.0,3.61693780322023,norm_fazlasi,25.0,12.0,13.026842534808406,norm_fazlasi
Diyarbakýr,Bismil,75742,,328,7.0,10.0,-3.3757925621245057,norm_eksigi,,2.0,,belirsiz,25.0,12.0,12.655060416349174,norm_fazlasi
Diyarbakýr,Çermik,32218,,375,9.0,10.0,-0.8727270057825578,dengede,,2.0,,belirsiz,11.0,11.0,0.47576637069469463,dengede
Diyarbakýr,Çýnar,49845,,402,12.0,10.0,2.0597647764017033,norm_fazlasi,,2.0,,belirsiz,22.0,11.0,10.558884435423721,norm_fazlasi
Diyarbakýr,Çüngüþ,7925,,299,3.0,4.0,-1.1216973080784953,norm_eksigi,,1.0,,belirsiz,4.0,7.0,-2.6623579159733453,norm_eksigi
Diyarbakýr,Dicle,26656,,300,6.0,5.0,0.9272288965617914,dengede,1.0,1.0,-0.20295739789830236,dengede,10.0,8.0,2.4569725626061913,norm_fazlasi
Diyarbakýr,Eðil,14083,,249,7.0,4.0,2.7885631385731706,norm_fazlasi,,1.0,,belirsiz,14.0,7.0,7.427590787011625,norm_fazlasi
Diyarbakýr,Ergani,88921,,388,14.0,11.0,3.147414912408557,norm_fazlasi,2.0,2.0,-0.4432198960464522,dengede,19.0,12.0,7.029058078283256,norm_fazlasi
Diyarbakýr,Hani,17866,,292,6.0,5.0,0.821850297954688,dengede,1.0,1.0,-0.08887283617606867,dengede,10.0,7.0,2.6147084656037194,norm_fazlasi
Diyarbakýr,Hazro,9428,,303,6.0,5.0,1.3710780602236747,norm_fazlasi,,1.0,,belirsiz,10.0,7.0,2.8817975099859456,norm_fazlasi
Diyarbakýr,Kayapýnar,285907,,274,12.0,8.0,3.739024454944529,norm_fazlasi,4.0,5.0,-1.2229913795483753,norm_eksigi,25.0,11.0,13.999830852788797,norm_fazlasi
Diyarbakýr,Kocaköy,8751,,281,5.0,4.0,0.6991087290907716,dengede,,1.0,,belirsiz,11.0,7.0,4.298916045957153,norm_fazlasi
Diyarbakýr,Kulp,23388,,296,5.0,6.0,-1.0730610493956831,dengede,1.0,1.0,-0.10264234868465172,dengede,10.0,8.0,2.1504416895349623,norm_fazlasi
Diyarbakýr,Lice,17464,,305,6.0,7.0,-0.7348673194954172,dengede,,1.0,,belirsiz,6.0,8.0,-2.1241857734800718,norm_eksigi
Diyarbakýr,Silvan,57948,,355,8.0,9.0,-1.4156941747313283,dengede,1.0,2.0,-0.9786752966597783,dengede,15.0,11.0,3.876910451745058,norm_fazlasi
Diyarbakýr,Sur,61895,,374,18.0,9.0,8.996456943185038,norm_fazlasi,4.0,3.0,1.2782964852982417,norm_fazlasi,33.0,12.0,21.440168304879464,norm_fazlasi
Diyarbakýr,Yeniþehir,144382,,359,12.0,8.0,4.131487039870942,norm_fazlasi,4.0,4.0,-0.1892506938190106,dengede,31.0,11.0,20.3019442335158,norm_fazlasi
Düzce,Akçakoca,22064,,262,4.0,5.0,-0.6669050573515705,dengede,1.0,2.0,-0.7044303036943214,dengede,11.0,7.0,3.6437184771110918,norm_fazlasi
Düzce,Cumayeri,8161,,244,3.0,4.0,-0.5407971912571727,dengede,,1.0,,belirsiz,4.0,6.0,-2.0907526591331536,norm_eksigi
Düzce,Çilimli,7972,,275,3.0,4.0,-0.806045039995178,dengede,1.0,1.0,-0.03609900467342353,dengede,3.0,6.0,-3.434190123571221,norm_eksigi
Düzce,Gümüþova,7175,,301,2.0,4.0,-1.8731519744387994,norm_eksigi,,1.0,,belirsiz,4.0,7.0,-2.5651097373290446,norm_eksigi
Düzce,Kaynaþlý,5926,,265,3.0,4.0,-0.7958210666437262,dengede,1.0,1.0,-0.4950034011056572,dengede,5.0,6.0,-1.3856399334238567,norm_eksigi
Düzce,Yýðýlca,1819,,241,2.0,2.0,-0.46014989904820247,dengede,,0.0,,belirsiz,4.0,5.0,-0.8335051133097338,dengede
Edirne,Enez,3558,,418,4.0,6.0,-1.7550827539569855,norm_eksigi,,0.0,,belirsiz,6.0,8.0,-1.889794942726084,norm_eksigi
Edirne,Havsa,7129,,440,6.0,7.0,-1.265283913251106,dengede,,1.0,,belirsiz,8.0,10.0,-1.5145283196103847,dengede
Edirne,Ýpsala,11928,,489,5.0,7.0,-2.1189792090338173,norm_eksigi,1.0,1.0,-0.2092163511198164,dengede,5.0,10.0,-5.180858895305114,norm_eksigi
Edirne,Keþan,55056,,511,7.0,11.0,-4.150571782643844,norm_eksigi,4.0,3.0,0.8271869363269664,dengede,14.0,13.0,0.7809108150156518,dengede
Edirne,Lalapaþa,2676,,338,3.0,5.0,-1.8426285896889834,norm_eksigi,,0.0,,belirsiz,6.0,7.0,-0.9042092000670916,dengede
