il_adi,ilce_adi,veteriner_hekim,veteriner_tahmini_norm,veteriner_tahmini_norm_yuvarlak,veteriner_norm_farki,veteriner_durumu
Diyarbakýr,Ergani,14.0,10.852585087591443,11.0,3.147414912408557,norm_fazlasi
Hatay,Antakya,16.0,12.858430130854824,13.0,3.141569869145176,norm_fazlasi
Antalya,Finike,8.0,4.909446460297419,5.0,3.090553539702581,norm_fazlasi
Erzurum,Aziziye,11.0,7.964610659000229,8.0,3.035389340999771,norm_fazlasi
Kýrklareli,Kofçaz,3.0,0.0,0.0,3.0,belirsiz
Kahramanmaraþ,Göksun,10.0,7.004335534065417,7.0,2.995664465934583,norm_fazlasi
Denizli,Honaz,10.0,7.008094516633336,7.0,2.991905483366664,norm_fazlasi
Van,Gevaþ,8.0,5.013783732041865,5.0,2.9862162679581354,norm_fazlasi
Gaziantep,Yavuzeli,8.0,5.044290587417092,5.0,2.955709412582908,norm_fazlasi
Ýzmir,Çiðli,9.0,6.0448294008093235,6.0,2.9551705991906765,norm_fazlasi
Burdur,Gölhisar,11.0,8.070847964227289,8.0,2.929152035772711,norm_fazlasi
Kayseri,Bünyan,11.0,8.089605887449899,8.0,2.910394112550101,norm_fazlasi
Muðla,Köyceðiz,10.0,7.090269763204445,7.0,2.9097302367955553,norm_fazlasi
Mersin,Mut,12.0,9.100345747204072,9.0,2.899654252795928,norm_fazlasi
Kütahya,Dumlupýnar,4.0,1.118905649566936,1.0,2.881094350433064,norm_fazlasi
Diyarbakýr,Eðil,7.0,4.211436861426829,4.0,2.7885631385731706,norm_fazlasi
Ordu,Fatsa,9.0,6.272509042148107,6.0,2.7274909578518933,norm_fazlasi
Diyarbakýr,Baðlar,13.0,10.272711018403236,10.0,2.7272889815967645,norm_fazlasi
Konya,Meram,19.0,16.283486705307187,16.0,2.716513294692813,dengede
Van,Saray,7.0,4.2856234245632425,4.0,2.7143765754367575,norm_fazlasi
Sakarya,Söðütlü,7.0,4.300209187847372,4.0,2.699790812152628,norm_fazlasi
Ardahan,Göle,10.0,7.311776782261121,7.0,2.688223217738879,norm_fazlasi
Bolu,Göynük,7.0,4.31231907077975,4.0,2.6876809292202504,norm_fazlasi
Kayseri,Yahyalý,9.0,6.31550379406899,6.0,2.6844962059310102,norm_fazlasi
Mersin,Gülnar,8.0,5.326577581339219,5.0,2.673422418660781,norm_fazlasi
Tekirdað,Süleymanpaþa,15.0,12.353016280039451,12.0,2.6469837199605486,norm_fazlasi
Aydýn,Nazilli,13.0,10.367128488365948,10.0,2.632871511634052,norm_fazlasi
Hatay,Ýskenderun,9.0,6.384996036620582,6.0,2.6150039633794178,norm_fazlasi
Isparta,Gönen,7.0,4.41009387048973,4.0,2.58990612951027,norm_fazlasi
Mersin,Yeniþehir,10.0,7.4448728139139195,7.0,2.5551271860860805,norm_fazlasi
Van,Baþkale,8.0,5.450872870985893,5.0,2.5491271290141073,norm_fazlasi
Aydýn,Kuyucak,10.0,7.451211671566456,7.0,2.5487883284335444,norm_fazlasi
Kýrýkkale,Çelebi,3.0,0.45181336062896094,0.0,2.548186639371039,belirsiz
Samsun,Asarcýk,7.0,4.512246540360296,5.0,2.4877534596397037,norm_fazlasi
Bursa,Ýnegöl,14.0,11.556346066965123,12.0,2.443653933034877,norm_fazlasi
Ýstanbul,Beþiktaþ,7.0,4.560506967475111,5.0,2.439493032524889,norm_fazlasi
Muðla,Fethiye,14.0,11.574660797873076,12.0,2.425339202126924,norm_fazlasi
Bilecik,Yenipazar,3.0,0.5751346207324852,1.0,2.4248653792675148,norm_fazlasi
Bursa,Karacabey,14.0,11.609872961760274,12.0,2.3901270382397257,norm_fazlasi
Þanlýurfa,Birecik,10.0,7.618656044116679,8.0,2.381343955883321,norm_fazlasi
Trabzon,Ortahisar,10.0,7.66783539185628,8.0,2.33216460814372,norm_fazlasi
Mersin,Çamlýyayla,6.0,3.7026571509981494,4.0,2.2973428490018506,norm_fazlasi
Muðla,Ortaca,9.0,6.707798255766353,7.0,2.2922017442336466,norm_fazlasi
Tokat,Zile,12.0,9.729729785108578,10.0,2.270270214891422,norm_fazlasi
Adýyaman,Kahta,11.0,8.730283632424719,9.0,2.269716367575281,norm_fazlasi
Þýrnak,Silopi,8.0,5.733023576751429,6.0,2.266976423248571,norm_fazlasi
Samsun,Canik,8.0,5.752254627292329,6.0,2.247745372707671,norm_fazlasi
Balýkesir,Sýndýrgý,10.0,7.77629959648778,8.0,2.22370040351222,norm_fazlasi
Ýzmir,Narlýdere,5.0,2.7883514767245186,3.0,2.2116485232754814,norm_fazlasi
Ýstanbul,Kartal,9.0,6.826048521346672,7.0,2.1739514786533283,norm_fazlasi
Kilis,Musabeyli,3.0,0.830198188770999,1.0,2.169801811229001,norm_fazlasi
Hatay,Erzin,8.0,5.833873164451406,6.0,2.166126835548594,norm_fazlasi
Amasya,Suluova,10.0,7.836842020555945,8.0,2.1631579794440547,norm_fazlasi
Elazýð,Keban,6.0,3.839997454623198,4.0,2.160002545376802,norm_fazlasi
Ýzmir,Menderes,11.0,8.84233389404558,9.0,2.1576661059544193,norm_fazlasi
Siirt,Tillo,4.0,1.9026114470393392,2.0,2.097388552960661,norm_fazlasi
Diyarbakýr,Çýnar,12.0,9.940235223598297,10.0,2.0597647764017033,norm_fazlasi
Bursa,Osmangazi,20.0,17.95071412819896,18.0,2.0492858718010396,dengede
Kýrþehir,Akçakent,2.0,0.0,0.0,2.0,belirsiz
Þanlýurfa,Halfeti,7.0,5.02331227043444,5.0,1.97668772956556,norm_fazlasi
Ankara,Sincan,17.0,15.024282440693217,15.0,1.9757175593067835,dengede
Hatay,Payas,5.0,3.0304628728232705,3.0,1.9695371271767295,norm_fazlasi
Manisa,Kula,11.0,9.03972521748694,9.0,1.9602747825130606,norm_fazlasi
Erzurum,Yakutiye,11.0,9.056543209094052,9.0,1.9434567909059481,norm_fazlasi
Ýzmir,Menemen,12.0,10.068029698501455,10.0,1.931970301498545,dengede
Aðrý,Hamur,7.0,5.12612923710862,5.0,1.8738707628913804,norm_fazlasi
Adana,Seyhan,18.0,16.127812348152155,16.0,1.8721876518478453,dengede
Batman,Beþiri,8.0,6.130095888813565,6.0,1.8699041111864352,norm_fazlasi
Zonguldak,Çaycuma,9.0,7.139764112283639,7.0,1.8602358877163612,norm_fazlasi
Osmaniye,Düziçi,9.0,7.150326704947975,7.0,1.8496732950520247,norm_fazlasi
Antalya,Demre,6.0,4.153704628793885,4.0,1.8462953712061152,norm_fazlasi
Ýzmir,Beydað,7.0,5.161739361332919,5.0,1.838260638667081,norm_fazlasi
Balýkesir,Kepsut,9.0,7.174590788662599,7.0,1.8254092113374014,norm_fazlasi
Aðrý,Taþlýçay,7.0,5.197193437753582,5.0,1.8028065622464178,norm_fazlasi
Rize,Hemþin,3.0,1.2075418715685773,1.0,1.7924581284314227,norm_fazlasi
Mersin,Anamur,8.0,6.218866985094703,6.0,1.781133014905297,norm_fazlasi
Aydýn,Karpuzlu,8.0,6.231558607664969,6.0,1.7684413923350313,norm_fazlasi
Bingöl,Yayladere,2.0,0.24804187273661338,0.0,1.7519581272633866,belirsiz
Bilecik,Ýnhisar,2.0,0.25591957112311814,0.0,1.7440804288768819,belirsiz
Gaziantep,Karkamýþ,6.0,4.261332174951049,4.0,1.7386678250489513,norm_fazlasi
Kastamonu,Daday,5.0,3.276815923473333,3.0,1.723184076526667,norm_fazlasi
Trabzon,Akçaabat,8.0,6.282291177397887,6.0,1.7177088226021127,norm_fazlasi
Balýkesir,Edremit,9.0,7.2892467688122995,7.0,1.7107532311877005,norm_fazlasi
Sinop,Dikmen,3.0,1.3198645883064346,1.0,1.6801354116935654,norm_fazlasi
Aydýn,Koçarlý,9.0,7.346792352224368,7.0,1.6532076477756323,norm_fazlasi
