il_adi,ilce_adi,ziraat_muhendisi,ziraat_tahmini_norm,ziraat_tahmini_norm_yuvarlak,ziraat_norm_farki,ziraat_durumu
Bursa,Osmangazi,26.0,21.91988287762731,22.0,4.080117122372691,dengede
Mersin,Mut,15.0,10.954933385835648,11.0,4.045066614164352,norm_fazlasi
Kilis,Elbeyli,8.0,3.974786881253353,4.0,4.025213118746647,norm_fazlasi
Ýzmir,Urla,14.0,9.978099536887306,10.0,4.021900463112694,norm_fazlasi
Batman,Hasankeyf,9.0,4.984228569082513,5.0,4.015771430917487,norm_fazlasi
Iðdýr,Tuzluca,12.0,7.985820447045967,8.0,4.014179552954033,norm_fazlasi
Van,Saray,10.0,6.044593942671031,6.0,3.955406057328969,norm_fazlasi
Ýzmir,Torbalý,17.0,13.056321927483085,13.0,3.9436780725169154,norm_fazlasi
Amasya,Suluova,14.0,10.121360651275396,10.0,3.8786393487246045,norm_fazlasi
Diyarbakýr,Silvan,15.0,11.123089548254942,11.0,3.876910451745058,norm_fazlasi
Balýkesir,Gönen,17.0,13.1400967083393,13.0,3.8599032916607,norm_fazlasi
Aydýn,Ýncirliova,14.0,10.190643351576085,10.0,3.8093566484239147,norm_fazlasi
Ýzmir,Güzelbahçe,11.0,7.197355568906988,7.0,3.802644431093012,norm_fazlasi
Bitlis,Ahlat,12.0,8.199101829375547,8.0,3.8008981706244533,norm_fazlasi
Þanlýurfa,Harran,13.0,9.214160320661952,9.0,3.785839679338048,norm_fazlasi
Siirt,Tillo,8.0,4.247389634157214,4.0,3.752610365842786,norm_fazlasi
Ýzmir,Bornova,18.0,14.296017452642316,14.0,3.7039825473576844,norm_fazlasi
Þanlýurfa,Halfeti,11.0,7.311063105168973,7.0,3.688936894831027,norm_fazlasi
Trabzon,Araklý,11.0,7.326637858293779,7.0,3.673362141706221,norm_fazlasi
Ankara,Polatlý,24.0,20.34774361180874,20.0,3.6522563881912617,dengede
Düzce,Akçakoca,11.0,7.356281522888908,7.0,3.6437184771110918,norm_fazlasi
Þýrnak,Silopi,12.0,8.375605449171921,8.0,3.624394550828079,norm_fazlasi
Adana,Karataþ,14.0,10.397882703945218,10.0,3.6021172960547823,norm_fazlasi
Konya,Kadýnhaný,17.0,13.417509093425274,13.0,3.5824909065747264,norm_fazlasi
Adýyaman,Besni,15.0,11.446828719466676,11.0,3.5531712805333235,norm_fazlasi
Erzurum,Aziziye,13.0,9.452212612644278,9.0,3.547787387355722,norm_fazlasi
Trabzon,Sürmene,10.0,6.464879278514675,6.0,3.535120721485325,norm_fazlasi
Þanlýurfa,Siverek,21.0,17.470421043759348,17.0,3.529578956240652,norm_fazlasi
Osmaniye,Sumbas,10.0,6.493631632260373,6.0,3.5063683677396273,norm_fazlasi
Balýkesir,Burhaniye,13.0,9.571140935035583,10.0,3.428859064964417,norm_fazlasi
Adana,Pozantý,10.0,6.574669909226241,7.0,3.425330090773759,norm_fazlasi
Konya,Sarayönü,17.0,13.578205662851962,14.0,3.4217943371480377,norm_fazlasi
Ýzmir,Bayraklý,12.0,8.647243495756225,9.0,3.352756504243775,norm_fazlasi
Kýrýkkale,Çelebi,6.0,2.697772190540314,3.0,3.302227809459686,norm_fazlasi
Konya,Altýnekin,14.0,10.71893313870341,11.0,3.2810668612965905,norm_fazlasi
Batman,Kozluk,12.0,8.75646118206555,9.0,3.24353881793445,norm_fazlasi
Tokat,Zile,15.0,11.797191142387355,12.0,3.202808857612645,norm_fazlasi
Burdur,Bucak,16.0,12.822458980984884,13.0,3.1775410190151163,norm_fazlasi
Denizli,Merkezefendi,16.0,12.86332224896104,13.0,3.1366777510389596,norm_fazlasi
Aydýn,Koçarlý,13.0,9.867035777246691,10.0,3.1329642227533085,norm_fazlasi
Ýzmir,Foça,12.0,8.955395283852772,9.0,3.0446047161472283,norm_fazlasi
Malatya,Yazýhan,12.0,8.99288781706382,9.0,3.0071121829361793,norm_fazlasi
Sivas,Gürün,12.0,9.03021268063096,9.0,2.96978731936904,norm_fazlasi
Bursa,Nilüfer,20.0,17.055262161896827,17.0,2.9447378381031726,dengede
Sivas,Ulaþ,10.0,7.058739041949521,7.0,2.9412609580504787,norm_fazlasi
Giresun,Tirebolu,10.0,7.094905044644262,7.0,2.9050949553557377,norm_fazlasi
Tokat,Pazar,11.0,8.108253990271065,8.0,2.8917460097289354,norm_fazlasi
Diyarbakýr,Hazro,10.0,7.118202490014054,7.0,2.8817975099859456,norm_fazlasi
Þanlýurfa,Birecik,13.0,10.172330918660524,10.0,2.827669081339476,norm_fazlasi
Nevþehir,Ürgüp,13.0,10.192328554991034,10.0,2.8076714450089657,norm_fazlasi
Ýstanbul,Çekmeköy,11.0,8.2003924585371,8.0,2.7996075414628994,norm_fazlasi
Ankara,Çankaya,30.0,27.268548992041577,27.0,2.731451007958423,dengede
Van,Gürpýnar,12.0,9.330096274441505,9.0,2.6699037255584948,norm_fazlasi
Isparta,Keçiborlu,11.0,8.349618454713488,8.0,2.6503815452865123,norm_fazlasi
Diyarbakýr,Hani,10.0,7.385291534396281,7.0,2.6147084656037194,norm_fazlasi
Samsun,Terme,12.0,9.456476303930486,9.0,2.5435236960695136,norm_fazlasi
Kocaeli,Kandýra,12.0,9.47826821455747,9.0,2.5217317854425296,norm_fazlasi
Balýkesir,Bigadiç,14.0,11.49173038486846,11.0,2.5082696151315407,norm_fazlasi
Ýstanbul,Tuzla,12.0,9.500574555524896,10.0,2.4994254444751043,norm_fazlasi
Muðla,Marmaris,13.0,10.537532244496141,11.0,2.4624677555038588,norm_fazlasi
Diyarbakýr,Dicle,10.0,7.543027437393809,8.0,2.4569725626061913,norm_fazlasi
Mardin,Dargeçit,9.0,6.544800324157699,7.0,2.4551996758423007,norm_fazlasi
Ordu,Perþembe,10.0,7.636572140638606,8.0,2.363427859361394,norm_fazlasi
Giresun,Görele,9.0,6.679311291492439,7.0,2.3206887085075607,norm_fazlasi
Trabzon,Of,9.0,6.697654931324099,7.0,2.3023450686759013,norm_fazlasi
Bursa,Ýznik,12.0,9.71297216935874,10.0,2.287027830641261,norm_fazlasi
Kilis,Polateli,5.0,2.739298940355842,3.0,2.260701059644158,norm_fazlasi
Kahramanmaraþ,Türkoðlu,14.0,11.831294634831933,12.0,2.1687053651680674,dengede
Kýrþehir,Akçakent,4.0,1.831339953953865,2.0,2.168660046046135,norm_fazlasi
Þanlýurfa,Viranþehir,14.0,11.83259854283287,12.0,2.1674014571671307,dengede
Þanlýurfa,Suruç,12.0,9.842092953091015,10.0,2.157907046908985,norm_fazlasi
Diyarbakýr,Kulp,10.0,7.849558310465038,8.0,2.1504416895349623,norm_fazlasi
Trabzon,Arsin,9.0,6.85620282128731,7.0,2.14379717871269,norm_fazlasi
Manisa,Þehzadeler,13.0,10.8599239851006,11.0,2.1400760148993996,dengede
Mardin,Ömerli,9.0,6.892897160699066,7.0,2.107102839300934,norm_fazlasi
Manisa,Saruhanlý,12.0,9.934972688454174,10.0,2.065027311545826,norm_fazlasi
Kýrþehir,Boztepe,9.0,6.966346611247615,7.0,2.033653388752385,norm_fazlasi
Þýrnak,Ýdil,13.0,10.99572225319963,11.0,2.004277746800369,dengede
Eskiþehir,Odunpazarý,18.0,16.002936899699478,16.0,1.9970631003005224,dengede
Aydýn,Kuyucak,12.0,10.052858480992452,10.0,1.9471415190075483,dengede
Artvin,Arhavi,8.0,6.138970481163442,6.0,1.861029518836558,norm_fazlasi
Sinop,Saraydüzü,5.0,3.157836598161584,3.0,1.842163401838416,norm_fazlasi
Kocaeli,Karamürsel,11.0,9.191816093189425,9.0,1.8081839068105747,dengede
Adana,Karaisalý,13.0,11.330977711819791,11.0,1.6690222881802086,dengede
Kayseri,Bünyan,12.0,10.347024046277088,10.0,1.6529759537229118,dengede
Giresun,Keþap,8.0,6.426699110425972,6.0,1.5733008895740284,norm_fazlasi
Çanakkale,Bayramiç,13.0,11.443418534091489,11.0,1.5565814659085113,dengede
Hatay,Antakya,17.0,15.515352123069391,16.0,1.4846478769306088,dengede
Ýzmir,Karþýyaka,12.0,10.523182979574493,11.0,1.476817020425507,dengede
Balýkesir,Karesi,14.0,12.566231904992113,13.0,1.4337680950078866,dengede
Balýkesir,Gömeç,9.0,7.632046325190292,8.0,1.3679536748097076,dengede
Kocaeli,Körfez,10.0,8.63608073533412,9.0,1.3639192646658795,dengede
Zonguldak,Alaplý,8.0,6.6498159236143195,7.0,1.3501840763856805,norm_fazlasi
Ýzmir,Bergama,15.0,13.779442268402022,14.0,1.220557731597978,dengede
Kýrklareli,Kofçaz,2.0,0.8119950688231174,1.0,1.1880049311768826,norm_fazlasi
Batman,Gercüþ,9.0,7.817913902077938,8.0,1.1820860979220624,dengede
Gaziantep,Karkamýþ,8.0,6.823047933585527,7.0,1.176952066414473,dengede
Samsun,Yakakent,8.0,6.828231248371845,7.0,1.1717687516281554,dengede
Nevþehir,Gülþehir,10.0,8.846509343241449,9.0,1.1534906567585512,dengede
Afyonkarahisar,Kýzýlören,5.0,3.8469319689616714,4.0,1.1530680310383286,norm_fazlasi
Kilis,Musabeyli,4.0,2.850598572412405,3.0,1.1494014275875948,norm_fazlasi
Ýstanbul,Beþiktaþ,9.0,7.886024356224073,8.0,1.1139756437759267,dengede
Kayseri,Tomarza,10.0,8.904172273883496,9.0,1.0958277261165037,dengede
Çankýrý,Bayramören,1.0,0.0,0.0,1.0,belirsiz
Denizli,Honaz,11.0,10.017303578049953,10.0,0.9826964219500471,dengede
Ankara,Keçiören,18.0,17.058638505637134,17.0,0.9413614943628659,dengede
Denizli,Çivril,14.0,13.06662075530091,13.0,0.9333792446990898,dengede
Bursa,Gürsu,10.0,9.096872370337293,9.0,0.9031276296627073,dengede
Ankara,Beypazarý,13.0,12.111191149113672,12.0,0.8888088508863277,dengede
Isparta,Þarkikaraaðaç,10.0,9.115266102171983,9.0,0.884733897828017,dengede
Antalya,Kemer,9.0,8.119193210615222,8.0,0.8808067893847777,dengede
Ýzmir,Konak,13.0,12.12093616573695,12.0,0.8790638342630501,dengede
Isparta,Gönen,8.0,7.141014966385903,7.0,0.858985033614097,dengede
Aydýn,Germencik,11.0,10.15031323392217,10.0,0.8496867660778307,dengede
Siirt,Þirvan,7.0,6.150408071618726,6.0,0.8495919283812743,dengede
Niðde,Bor,12.0,11.15113620307714,11.0,0.8488637969228598,dengede
Ýzmir,Bayýndýr,12.0,11.156063104951507,11.0,0.8439368950484933,dengede
Amasya,Taþova,11.0,10.157341126109142,10.0,0.8426588738908585,dengede
Konya,Akören,9.0,8.16299145194458,8.0,0.8370085480554206,dengede
Bitlis,Adilcevaz,9.0,8.18950064686464,8.0,0.8104993531353593,dengede
Mersin,Çamlýyayla,7.0,6.190285189706078,6.0,0.8097148102939222,dengede
Balýkesir,Havran,9.0,8.191994885938833,8.0,0.8080051140611673,dengede
Edirne,Keþan,14.0,13.219089184984348,13.0,0.7809108150156518,dengede
Gaziantep,Nurdaðý,10.0,9.244105709965448,9.0,0.7558942900345524,dengede
Van,Çatak,8.0,7.247581721253115,7.0,0.7524182787468847,dengede
Iðdýr,Karakoyunlu,7.0,6.256195841493865,6.0,0.7438041585061352,dengede
Rize,Çayeli,7.0,6.269212791423559,6.0,0.7307872085764409,dengede
Ýzmir,Narlýdere,6.0,5.270559760996774,5.0,0.7294402390032264,dengede
Elazýð,Baskil,8.0,7.305060333092577,7.0,0.6949396669074233,dengede
Denizli,Acýpayam,13.0,12.318480672333044,12.0,0.6815193276669564,dengede
Kýrklareli,Babaeski,12.0,11.334061234385445,11.0,0.6659387656145555,dengede
Yozgat,Akdaðmadeni,11.0,10.337384385528432,10.0,0.6626156144715676,dengede
Ordu,Ulubey,7.0,6.343297633696292,6.0,0.6567023663037084,dengede
Giresun,Espiye,7.0,6.345032795312431,6.0,0.6549672046875692,dengede
Muðla,Dalaman,11.0,10.372559359833733,10.0,0.6274406401662667,dengede
Malatya,Kale,7.0,6.3859080668079145,6.0,0.6140919331920855,dengede
Gaziantep,Yavuzeli,8.0,7.388031121361665,7.0,0.6119688786383346,dengede
Ýstanbul,Pendik,13.0,12.397795847467977,12.0,0.602204152532023,dengede
Çanakkale,Ayvacýk,11.0,10.424502542532537,10.0,0.5754974574674634,dengede
Adýyaman,Çelikhan,7.0,6.448045990106023,6.0,0.5519540098939766,dengede
Siirt,Pervari,7.0,6.471293010178696,6.0,0.5287069898213037,dengede
Hatay,Payas,6.0,5.481982344487493,5.0,0.5180176555125069,dengede
Çanakkale,Gelibolu,12.0,11.482030130995742,11.0,0.5179698690042578,dengede
Tokat,Niksar,12.0,11.52074034005111,12.0,0.4792596599488892,dengede
Diyarbakýr,Çermik,11.0,10.524233629305305,11.0,0.47576637069469463,dengede
Ordu,Ýkizce,6.0,5.537436528777753,6.0,0.4625634712222473,dengede
Batman,Sason,7.0,6.583892164499128,7.0,0.41610783550087227,dengede
Kütahya,Tavþanlý,13.0,12.604408413749985,13.0,0.3955915862500152,dengede
Iðdýr,Aralýk,8.0,7.614257000084518,8.0,0.38574299991548244,dengede
Tunceli,Pertek,7.0,6.616084227127729,7.0,0.3839157728722711,dengede
Ýstanbul,Þile,9.0,8.625190020935275,9.0,0.37480997906472524,dengede
Ýstanbul,Sarýyer,11.0,10.627940439799481,11.0,0.372059560200519,dengede
Karaman,Kazýmkarabekir,7.0,6.637290416322454,7.0,0.362709583677546,dengede
Kýrklareli,Lüleburgaz,17.0,16.64851795860553,17.0,0.35148204139446904,dengede
Ýstanbul,Adalar,5.0,4.652156864614702,5.0,0.34784313538529776,dengede
Ýstanbul,Avcýlar,10.0,9.656694839379414,10.0,0.34330516062058614,dengede
Muþ,Bulanýk,10.0,9.659635959035695,10.0,0.34036404096430495,dengede
