il_adi,ilce_adi,gida_muhendisi,gida_tahmini_norm,gida_tahmini_norm_yuvarlak,gida_norm_farki,gida_durumu
Ýzmir,Beydað,2.0,1.1488374514043533,1.0,0.8511625485956467,dengede
Samsun,Tekkeköy,3.0,2.1491099329341377,2.0,0.8508900670658623,dengede
Bursa,Keles,2.0,1.1502075137042511,1.0,0.8497924862957489,dengede
Aydýn,Didim,4.0,3.16516778004901,3.0,0.8348322199509899,dengede
Edirne,Keþan,4.0,3.1728130636730336,3.0,0.8271869363269664,dengede
Samsun,Atakum,5.0,4.204052691309332,4.0,0.7959473086906677,dengede
Tekirdað,Süleymanpaþa,5.0,4.214843229572106,4.0,0.7851567704278937,dengede
Hatay,Payas,2.0,1.2514685614860976,1.0,0.7485314385139024,dengede
Tekirdað,Malkara,3.0,2.2566631513767774,2.0,0.7433368486232226,dengede
Aydýn,Karacasu,2.0,1.2609626086401664,1.0,0.7390373913598336,dengede
Kocaeli,Derince,3.0,2.2626842527850655,2.0,0.7373157472149345,dengede
Hatay,Antakya,5.0,4.29389287845734,4.0,0.7061071215426598,dengede
Adana,Sarýçam,5.0,4.307358555294775,4.0,0.6926414447052247,dengede
Manisa,Ahmetli,2.0,1.3121410381688898,1.0,0.6878589618311102,dengede
Ýstanbul,Silivri,5.0,4.312646302820915,4.0,0.687353697179085,dengede
Trabzon,Vakfýkebir,2.0,1.326548517033093,1.0,0.6734514829669069,dengede
Kahramanmaraþ,Elbistan,3.0,2.3628203174417477,2.0,0.6371796825582523,dengede
Antalya,Aksu,3.0,2.396547447429405,2.0,0.6034525525705949,dengede
Burdur,Bucak,3.0,2.401117601353458,2.0,0.5988823986465421,dengede
Ankara,Ayaþ,2.0,1.4060617613435258,1.0,0.5939382386564742,dengede
Zonguldak,Alaplý,2.0,1.4076124541507524,1.0,0.5923875458492476,dengede
Çanakkale,Bozcaada,1.0,0.4241055889526586,0.0,0.5758944110473414,belirsiz
Balýkesir,Manyas,2.0,1.438785393362073,1.0,0.5612146066379271,dengede
Artvin,Arhavi,2.0,1.444128029854045,1.0,0.5558719701459549,dengede
Eskiþehir,Tepebaþý,7.0,6.445416120906396,6.0,0.5545838790936042,dengede
Elazýð,Keban,1.0,0.4476424972892308,0.0,0.5523575027107692,belirsiz
Trabzon,Akçaabat,3.0,2.4515684909563484,2.0,0.5484315090436516,dengede
Bursa,Ýznik,3.0,2.46163640157778,2.0,0.5383635984222201,dengede
Ýzmir,Urla,4.0,3.4702003546155895,3.0,0.5297996453844105,dengede
Ýstanbul,Þile,3.0,2.471844156934291,2.0,0.5281558430657092,dengede
Bursa,Mudanya,4.0,3.4897257289084216,3.0,0.5102742710915784,dengede
Balýkesir,Karesi,5.0,4.49461542349996,4.0,0.50538457650004,dengede
Kocaeli,Dilovasý,2.0,1.5002413638551715,2.0,0.4997586361448285,dengede
Bursa,Gemlik,4.0,3.50524529172426,4.0,0.4947547082757402,dengede
Trabzon,Yomra,2.0,1.5198174001632039,2.0,0.4801825998367961,dengede
Ankara,Etimesgut,11.0,10.525499214841387,11.0,0.4745007851586127,dengede
Aydýn,Söke,4.0,3.5394773129935864,4.0,0.46052268700641363,dengede
Trabzon,Araklý,2.0,1.55459192680024,2.0,0.44540807319976006,dengede
Ýstanbul,Esenler,5.0,4.560210999375807,5.0,0.43978900062419335,dengede
Manisa,Gördes,2.0,1.5615780287010463,2.0,0.43842197129895366,dengede
Konya,Selçuklu,10.0,9.56934151326806,10.0,0.4306584867319394,dengede
Aðrý,Tutak,1.0,0.5762939842932684,1.0,0.4237060157067316,dengede
Yozgat,Akdaðmadeni,2.0,1.577120958729493,2.0,0.422879041270507,dengede
Balýkesir,Havran,2.0,1.583175565071654,2.0,0.4168244349283461,dengede
