"il_kod","ilce_kod","islem_adeti","islem_suresi"
"48","1719",18168,10019
"58","1913",572,336
"20","1670",16176,9751
"58","1431",15372,9620
"63","1713",57746,32908
"54","1818",18873,9919
"40","1429",11508,6350
"57","1290",2066,1306
"24","1853",6782,3341
"71","1463",19233,12008
"55","1676",40799,19732
"39","1480",2887,2150
"10","1608",4524,4087
"33","1135",15234,7985
"50","1367",17074,10151
"26","2046",7904,5042
"63","2092",27482,14531
"51","1700",10093,6991
"52","1119",19702,10503
"10","1161",12133,7530
"44","1969",10449,5906
"38","1275",16393,13508
"28","1854",12275,6698
"66","1242",4354,2905
"4","1568",32439,22175
"15","1899",18113,10025
"11","1857",5048,3563
"29","1684",6896,4503
"33","1621",23759,19185
"33","2067",6079,5787
"65","1565",31741,18321
"3","1594",26981,19690
"24","1583",1887,1463
"68","1860",11444,6411
"61","1966",3390,2037
"7","1483",18402,12491
"23","1173",9069,4704
"2","1989",21909,16817
"14","1346",2371,1375
"9","2000",8710,4844
"79","2024",9816,6907
"38","1936",664,449
"19","1911",3630,5666
"64","1323",21776,12374
"8","1202",24021,13518
"25","1967",13442,8410
"55","1452",5726,3786
"9","1640",7581,4247
"44","1582",5089,3844
"68","1921",18043,10023
"42","1285",59922,43946
"63","1115",106438,85413
"14","1916",6557,6523
"18","1885",881,502
"8","1145",7171,9317
"58","1991",28205,17764
"80","2027",2115,1481
"9","1256",14789,8375
"54","1442",22578,11805
"34","1886",65,37
"71","1882",20465,14364
"34","2016",2110,1029
"17","1229",14227,7350
"14","1610",4739,4032
"43","1288",4412,2947
"59","2096",52703,42197
"37","1208",3814,2178
"39","1577",7788,5013
"31","1721",5060,2915
"7","1370",2137,1092
"53","1228",2722,1598
"3","1664",14900,8461
"25","1865",2220,1342
"65","1309",32048,14251
"41","1821",2594,2324
"30","2107",11525,11222
"7","1126",17085,12894
"20","1769",2329,1595
"22","1988",17097,12276
"20","1214",22846,15589
"46","1107",16258,15510
"52","1897",9930,4821
"19","1520",24816,12287
"6","1746",1431,1004
"60","1545",40221,18178
"10","1644",9255,6904
"5","1524",414444,141961
"63","1393",25886,14404
"72","1607",4709,15571
"45","1118",37466,53829
"18","1817",17190,13772
"71","1638",16511,9605
"58","1646",5247,3108
"63","1220",32594,19721
"67","1240",13972,10104
"16","1434",30773,20959
"9","1724",16034,8620
"31","2081",12015,6814
"17","1408",11161,6068
"32","1717",9875,5713
"23","1110",1292,1146
"6","1427",7923,4385
"27","1844",48313,29989
"46","1570",13174,7706
"9","2076",14834,9703
"14","1466",6112,2574
"32","1755",1941,1034
"33","1766",9937,4989
"6","1167",18724,11696
"21","1962",9598,9576
"61","1548",4070,2371
"45","2087",10091,6402
"65","1372",28526,16639
"42","1422",28266,16013
"25","2045",75452,26226
"35","1334",3223,2391
"32","1456",3394,1814
"42","1827",21841,13145
"55","1993",2871,4923
"7","2035",633283108,316644090
"24","1460",1242,1346
"44","1265",13165,10804
"31","1792",6566,3270
"38","1727",23162,17902
"35","1826",9995,7123
"42","1222",409377,342097
"81","1116",18686,11168
"8","1653",4717,4079
"38","1603",9601,6757
"54","1453",30835,17432
"21","1278",23559,18237
"39","1572",5479,3497
"48","1331",12287,8147
"34","1449",503,354
"7","2036",25442,14483
"28","1324",6677,3443
"3","1771",7767,4836
"38","1409",6020,4457
"41","2030",6575,6069
"42","1933",15361,8265
"3","1281",23512,17457
"1","2033",4131,2970
"34","1336",1632,539
"20","1840",6766,5918
"6","1231",2158,2082
"63","1194",45584,26559
"42","1617",16244,12244
"7","1303",13897,8975
"68","2106",3196,2371
"25","1551",2466,1972
"59","1250",10036,7822
"57","1910",3350,4066
"6","1924",1712,856
"46","1975",3832,3780
"20","1426",6353,3710
"13","1394",6013,3333
"38","1864",125152,63456
"54","1925",14613,7319
"33","1892",3408,3006
"59","1825",10182,10068
"26","1808",3780,3169
"53","1428",10222,5283
"74","1496",3062,1462
"21","1253",29464,33915
"9","1206",25142,13451
"47","1474",30533,16647
"78","1296",5187,2359
"21","2042",21551,20564
"7","1333",12426,10541
"6","1539",4518,2407
"7","1337",14305,8994
"35","1128",3498,5745
"57","1693",2283,1316
"23","1506",1832,1630
"22","1412",16089,9114
"54","2071",4661,2950
"78","1587",1094,727
"41","2062",18464,9656
"60","1129",2375,1180
"42","1868",24808,24369
"34","2015",2347,1695
"54","1595",1050,866
"8","1736",12820,9096
"27","1415",12301,7138
"56","1575",4139,2582
"36","1279",27820,20861
"45","1613",28606,20685
"61","1507",14479,7526
"18","1555",3591,2736
"10","1191",9833,6786
"66","1635",34321,18510
"1","1588",3753,2411
"28","1837",16675,10059
"31","1413",4631,4590
"48","2089",15348,11314
"10","1619",31586,16575
"61","1896",8087,3828
"5","1668",12648,6893
"28","1893",5960,4707
"66","1117",9902,4944
"63","1209",10635,5770
"34","1604",5112,4900
