"il_kod","ilce_kod","islem_adeti","islem_suresi"
"6","1387",351295,23557
"71","1992",31316,2371
"33","1366",119425,13745
"22","1523",49653,4431
"64","1436",17965,1650
"31","1289",28970,7483
"44","1729",277839,50061
"35","1611",50787,5324
"65","2099",263874,19710
"66","1198",264017,123212
"44","1143",117521,8744
"52","1797",17110,2781
"53","1796",4412,1832
"60","1740",317732,30709
"23","1762",44233,6807
"72","1184",205676,12408
"5","1368",113478,9523
"6","1747",210937,17228
"75","1380",254630,22263
"1","1748",255706,27653
"3","1306",234608,25410
"46","1919",29304,3618
"34","2052",26435,57392
"40","1890",172434,13531
"34","2010",5590,1062
"1","2032",118768,13468
"34","2012",20347,19945
"26","2047",211343,39025
"58","1373",202469,15638
"66","1655",37765,4105
"26","1255",189717,13077
"43","1979",23663,2535
"28","1678",20873,1745
"22","1464",364424,29243
"16","1832",47844,5639
"15","1357",168059,18744
"34","1835",39820,7545
"45","1489",297584,49576
"53","1943",2530,1341
"22","1307",228432,15014
"57","1349",37953,3499
"44","1390",32513,9100
"37","1238",11077,3137
"27","1720",100995,11168
"6","1473",124285,12258
"73","1403",755914,124979
"1","1806",77256,6866
"9","1807",143209,9221
"10","1514",277751,33900
"25","1945",326061,26392
"28","1930",11829,1752
"25","1153",298495,25851
"30","1656",134704,39446
"52","1947",19159,3118
"52","1696",31877,6614
"9","1479",185955,45340
"42","1920",869494,57734
"62","1581",40503,4496
"61","1244",23119,3454
"62","1574",197299,11630
"32","1341",150736,12625
"38","1846",74928,8321
"19","1972",22726,2103
"26","1599",18846,2670
"58","1731",204070,14777
"25","1550",154407,15007
"61","1909",7260,2776
"34","1659",55061,12118
"44","1953",10648,1867
"6","1157",112819,8845
"34","1421",24022,5871
"64","1697",94369,8797
"51","1876",134058,9891
"8","1828",14648,4393
"26","1759",102897,9709
"26","1934",37202,3235
"46","1353",150486,14707
"39","1714",153670,11276
"15","1728",173312,19677
"42","1122",172247,23865
"40","1869",81818,11412
"43","1671",172749,14121
"59","1511",490305,38032
"42","1937",63265,7318
"12","1750",129792,16292
"46","1785",53420,4611
"52","1950",18051,3857
"26","1973",7696,919
"77","2021",11155,1556
"55","1125",144607,13731
"61","2097",44952,4996
"5","1363",46199,3920
"40","1254",162628,17576
"19","1642",159789,15978
"68","1557",112853,12891
"65","1770",67897,6090
"41","2058",21659,6015
"35","1448",15666,4358
"68","1866",20387,1842
"24","1243",76235,28608
"34","1663",4156,1833
"56","1317",76457,5125
"48","1517",43031,7329
"71","1880",18501,1328
"81","1905",14801,2935
"7","2037",100589,10628
"1","1734",42108,3159
"37","1940",14133,1407
"35","2009",22801,32136
"62","1397",51556,4561
"44","1148",76294,6085
"20","1889",40271,6447
"58","1650",244741,28481
"20","1257",528576,57858
"13","1106",207685,12505
"41","1440",26931,2808
"66","1952",70479,7421
"15","1813",58370,8152
"9","1542",221498,27938
"2","1347",128621,17626
"43","1625",316303,25417
"6","1815",695766,159454
"37","1140",86335,7896
"71","1954",45933,4325
"49","1213",588145,34940
"16","1530",38088,6840
"65","1918",85825,8335
"25","2044",170751,13758
"61","1842",24037,2869
"28","1912",6770,851
"21","2043",83649,8857
"29","1660",108563,9308
"48","1488",47460,13463
"38","1680",130925,10963
"49","1510",429139,29022
"64","1170",212262,28152
"58","1282",103461,7075
"52","1706",75303,17221
"45","1606",96027,59761
"16","1420",23435,2473
"43","1843",34960,4041
"25","1396",355231,24701
"58","1738",162598,15497
"26","1618",135040,11186
"9","1498",176231,12981
"20","1774",41459,3568
"48","1197",62506,14701
"17","1190",439892,46384
"54","2068",145182,13483
"36","1756",216418,15939
"45","1127",176996,13042
"2","1592",15801,1645
"55","1879",37617,4325
"48","1831",46107,5723
"18","1399",52138,14343
"34","2050",28335,5358
"56","1179",242139,15521
"44","1772",297574,30363
"31","1131",16782,5601
"30","1261",42987,22551
"35","2013",1681,1209
"60","1987",116160,7324
"52","1482",62867,6872
"6","1302",88907,20872
"48","1719",154751,31049
"58","1913",18414,1667
"20","1670",220178,21322
"58","1431",312660,29207
"63","1713",259257,19724
"54","1818",14148,2417
"40","1429",104170,10304
"57","1290",40521,4842
"24","1853",105922,8076
"71","1463",116909,7830
"55","1676",130797,13970
"39","1480",112482,10816
"10","1608",62258,6802
"33","1135",67599,5039
"50","1367",90539,7564
"26","2046",203595,13496
"63","2092",304622,21167
"51","1700",139953,10609
"52","1119",71383,7086
"10","1161",128502,14795
"44","1969",52777,5136
"38","1275",316744,28768
"28","1854",13867,2865
"66","1242",30922,3682
"4","1568",770963,77103
"15","1899",122441,8618
"11","1857",25361,5223
"29","1684",40714,3570
"33","1621",251932,20187
"33","2067",55737,6846
"65","1565",310503,23058
"3","1594",220310,20589
"24","1583",47610,5274
"68","1860",107676,7252
"61","1966",15050,6380
"7","1483",404685,35467
"23","1173",60812,4414
"2","1989",87110,16819
"14","1346",77433,8413
"9","2000",42611,6661
"79","2024",65508,5268
"38","1936",40093,3810
"19","1911",29303,3057
"64","1323",189789,27750
"8","1202",45147,16051
"25","1967",272322,18553
"55","1452",29240,3836
"9","1640",45096,4695
"44","1582",85572,22142
"68","1921",380749,31833
"42","1285",36624,3442
"63","1115",593285,35267
"14","1916",40730,5841
"18","1885",21678,2047
"8","1145",144749,27970
"58","1991",91106,6723
"80","2027",10684,1037
"9","1256",402360,37697
"34","1886",2216,912
"71","1882",90342,8555
"34","2016",1767,559
"17","1229",205928,18035
"14","1610",65536,8222
"43","1288",56292,20884
"59","2096",305881,26592
"37","1208",9090,1305
"39","1577",213428,13323
"31","1721",77042,7411
"7","1370",25716,2736
"53","1228",10106,1301
"3","1664",231893,20070
"25","1865",54511,4674
"41","1821",41861,4343
"30","2107",216753,33390
"7","1126",85816,7202
"20","1769",15066,1820
"22","1988",101407,11034
"20","1214",105083,12449
"46","1107",174652,16340
"52","1897",22743,3692
"19","1520",131522,45282
"6","1746",76051,6973
"60","1545",167802,16613
"10","1644",222860,37783
"5","1524",114373,11231
"63","1393",139815,11016
"72","1607",274806,27059
"45","1118",119591,31542
"18","1817",76830,7333
"71","1638",70480,6798
"58","1646",124567,11193
"63","1220",437543,26499
"67","1240",114913,16733
"16","1434",305677,28083
"9","1724",93870,28439
"31","2081",39145,5455
"17","1408",35163,3901
"32","1717",347156,67947
"23","1110",19142,1764
"6","1427",117498,8968
"27","1844",269910,24966
"46","1570",219527,17964
"9","2076",311987,29762
"14","1466",81635,12099
"32","1755",47607,8570
"33","1766",44161,3035
"6","1167",255679,17408
"21","1962",73883,5502
"61","1548",20386,3305
"45","2087",56920,5859
"65","1372",359993,34692
"42","1422",446306,49348
"25","2045",202275,15919
"35","1334",55794,5188
"32","1456",48414,4649
"42","1827",712299,76863
"55","1993",37657,7836
"7","2035",86772,8174
"24","1460",19051,1746
"44","1265",71515,7619
"31","1792",22995,7407
"38","1727",70561,5124
"35","1826",133004,19349
"42","1222",437804,39670
"81","1116",9764,4607
"8","1653",183052,27753
"38","1603",120854,7732
"54","1453",125238,29607
"21","1278",84216,8806
"39","1572",34647,3433
"48","1331",28191,8722
"34","1449",9268,1428
"7","2036",193156,19902
"28","1324",10645,1524
