il_kod,il_ad,ilce_kod,ilce_ad,merkez_ilce_mi,yuzolcum
17,Çanakkale,1230,Merkez,false,1012,22
17,Çanakkale,1722,Yenice,false,1465,1
17,Çanakkale,1326,Ezine,false,731,31
17,Çanakkale,1160,Ayvacýk,false,8997
17,Çanakkale,1190,Biga,false,1353,84
17,Çanakkale,1293,Eceabat,false,415,64
17,Çanakkale,1340,Gelibolu,false,823,92
17,Çanakkale,1503,Lapseki,false,821,34
17,Çanakkale,1180,Bayramiç,false,1196,39
17,Çanakkale,1205,Bozcaada,false,38,32
17,Çanakkale,1229,Çan,false,873,78
18,Çankýrý,1399,Ilgaz,false,843,97
18,Çankýrý,1649,Þabanözü,false,412,62
18,Çankýrý,1718,Yapraklý,false,673,31
18,Çankýrý,1817,Kýzýlýrmak,false,545,5
18,Çankýrý,1765,Atkaracalar,false,238,32
18,Çankýrý,1232,Merkez,false,1444,18
18,Çankýrý,1300,Eldivan,false,416,74
18,Çankýrý,1494,Kurþunlu,false,606,36
18,Çankýrý,1248,Çerkeþ,false,943,25
18,Çankýrý,1963,Korgun,false,400,75
18,Çankýrý,1885,Bayramören,false,313,41
18,Çankýrý,1555,Orta,false,7399
19,Çorum,1972,Laçin,false,169,38
19,Çorum,1177,Bayat,false,753,19
19,Çorum,1124,Alaca,false,1254,26
19,Çorum,1558,Osmancýk,false,1244,68
19,Çorum,1911,Dodurga,false,2367
19,Çorum,1520,Mecitözü,false,736,98
19,Çorum,1850,Uðurludað,false,3703
19,Çorum,1414,Ýskilip,false,1164,84
19,Çorum,1445,Kargý,false,1184,21
19,Çorum,1642,Sungurlu,false,2056,53
19,Çorum,1976,Oðuzlar,false,119,42
19,Çorum,1556,Ortaköy,false,3383
19,Çorum,1778,Boðazkale,false,257,18
19,Çorum,1259,Merkez,false,2562,71
20,Denizli,1257,Çivril,false,1505,66
20,Denizli,1102,Acýpayam,false,1692,11
20,Denizli,1214,Buldan,false,498,93
20,Denizli,1774,Bekilli,false,3055
20,Denizli,1889,Bozkurt,false,419,26
20,Denizli,1803,Honaz,false,481,49
20,Denizli,1597,Sarayköy,false,3438
20,Denizli,1881,Baklan,false,242,6
20,Denizli,1840,Serinhisar,false,219,74
20,Denizli,1769,Babadað,false,150,23
20,Denizli,1426,Kale,false,701,99
20,Denizli,1226,Çameli,false,668,98
20,Denizli,1871,Pamukkale,true,806,56
20,Denizli,1233,Çardak,false,448,24
20,Denizli,1224,Çal,false,9203
20,Denizli,1888,Beyaðaç,false,401,83
20,Denizli,1371,Güney,false,401,55
20,Denizli,2079,Merkezefendi,true,286,34
20,Denizli,1670,Tavas,false,1599
21,Diyarbakýr,1253,Çýnar,false,1791
21,Diyarbakýr,1315,Ergani,false,1521,45
21,Diyarbakýr,2041,Kayapýnar,false,4881
21,Diyarbakýr,1791,Eðil,false,457,83
21,Diyarbakýr,1490,Kulp,false,1531,95
21,Diyarbakýr,1504,Lice,false,9724
21,Diyarbakýr,2043,Yeniþehir,false,370,28
21,Diyarbakýr,1962,Kocaköy,false,253,72
21,Diyarbakýr,1249,Çermik,false,933,36
21,Diyarbakýr,1389,Hazro,false,424,72
21,Diyarbakýr,1381,Hani,false,432,54
21,Diyarbakýr,1263,Çüngüþ,false,517,16
21,Diyarbakýr,1278,Dicle,false,710,29
21,Diyarbakýr,1195,Bismil,false,1654,38
21,Diyarbakýr,2042,Sur,false,1196,59
21,Diyarbakýr,1624,Silvan,false,1281,15
21,Diyarbakýr,2040,Baðlar,false,554,6
22,Edirne,1385,Havsa,false,560,18
22,Edirne,1705,Uzunköprü,false,1207,73
22,Edirne,1307,Enez,false,477,35
22,Edirne,1502,Lalapaþa,false,562,91
22,Edirne,1988,Süloðlu,false,291,71
22,Edirne,1412,Ýpsala,false,702,25
22,Edirne,1464,Keþan,false,1092,42
22,Edirne,1295,Merkez,false,815,39
22,Edirne,1523,Meriç,false,428,85
23,Elazýð,1631,Sivrice,false,7207
23,Elazýð,1455,Keban,false,609,56
23,Elazýð,1873,Alacakaya,false,344,86
23,Elazýð,1298,Merkez,false,2235,54
23,Elazýð,1566,Palu,false,812,29
23,Elazýð,1173,Baskil,false,1273,81
23,Elazýð,1820,Kovancýlar,false,923,51
23,Elazýð,1506,Maden,false,801,14
23,Elazýð,1762,Arýcak,false,342,77
23,Elazýð,1110,Aðýn,false,2552
23,Elazýð,1438,Karakoçan,false,994,54
24,Erzincan,1977,Otlukbeli,false,271,91
24,Erzincan,1583,Refahiye,false,1686,66
24,Erzincan,1853,Üzümlü,false,587,24
24,Erzincan,1318,Merkez,false,1514,9
24,Erzincan,1675,Tercan,false,16503
24,Erzincan,1459,Kemah,false,2134,9
24,Erzincan,1406,Ýliç,false,1462,84
24,Erzincan,1243,Çayýrlý,false,1082,71
24,Erzincan,1460,Kemaliye,false,1236,52
25,Erzurum,1967,Köprüköy,false,771,44
25,Erzurum,1657,Þenkaya,false,1480,85
25,Erzurum,1567,Pasinler,false,1184,62
25,Erzurum,1235,Çat,false,1416,58
25,Erzurum,1674,Tekman,false,2064,1
25,Erzurum,1416,Ýspir,false,2117,17
