"il_kod","ilce_kod","islem_adeti","islem_suresi"
"19","1414",602,666
"7","1451",4349,9120
"8","1147",1811,1996
"79","2024",33,62
"42","1753",559,1715
"57","1314",111,110
"55","2072",7553,8329
"38","1936",1232,1323
"19","1911",252,542
"34","1622",6730,8335
"64","1323",19955,24412
"8","1202",1264,1921
"25","1967",705,818
"55","1452",9337,9422
"9","1640",1354,2472
"44","1582",689,1489
"55","1712",4056,4068
"35","1780",13027,13777
"68","1921",442,591
"33","1665",8383,9895
"3","1239",1263,1345
"42","1285",285,373
"63","1115",13091,16429
"14","1916",466,672
"72","1941",131,265
"18","1885",44,160
"8","1145",2665,2847
"58","1991",214,293
"80","2027",123,140
"32","2001",183,251
"9","1256",1932,2536
"54","1442",3091,3233
"22","1502",692,933
"34","1886",13116,16870
"66","1602",180,151
"71","1882",213,245
"46","2084",3222,3097
"38","1218",2832,3625
"8","2105",609,805
"34","2016",10386,12952
"17","1229",3199,3197
"16","1859",16076,18739
"25","1235",330,365
"14","1610",18,21
"43","1288",598,585
"28","1894",316,369
"6","1365",298,317
"59","2096",5757,6308
"25","1567",603,561
"10","1418",8362,9090
"37","1208",56,45
"39","1577",137,135
"31","1721",560,1164
"47","1787",376,378
"20","2079",8701,9869
"7","1370",111,118
"64","1629",3244,3403
"52","1795",680,876
"78","1321",113,117
"53","1228",125,141
"3","1664",4282,5487
"25","1865",509,1233
"58","1927",125,314
"21","1791",594,753
"16","1725",2765,3880
"25","1444",522,512
"65","1309",1459,1569
"41","1821",1526,2145
"30","2107",323,492
"52","1358",2225,2338
"16","1554",2659,2894
"7","1126",10103,11523
"15","1903",69,74
"22","1988",511,613
"46","1107",3626,3635
"52","1897",434,472
"27","1546",3925,5969
"45","2086",14284,15250
"19","1520",101,103
"52","1573",727,887
"37","1162",193,183
"6","1746",14308,14678
"68","1932",341,314
"60","1545",1708,1852
"44","1995",308,361
"10","1644",18783,21154
"5","1524",3140,3644
"63","1393",266,325
"27","1956",5160,13689
"72","1607",1301,2257
"45","1118",11336,17356
"18","1817",64,171
"21","1381",376,1473
"71","1638",90,83
"58","1646",603,643
"35","1461",20422,26377
"48","1528",22811,67592
"23","1820",532,517
"63","1220",1819,1892
"15","1211",3529,4193
"17","1326",2548,2502
"63","1643",2056,2084
"80","1165",784,922
"67","1240",2259,2739
"16","1434",4779,6298
"7","1512",14294,16401
"9","1724",476,628
"31","2081",4020,3999
"17","1408",1691,1776
"59","1596",2977,4831
"34","2054",19051,24509
"45","1689",8043,17839
"32","1717",3191,4043
"50","1485",415,404
"70","1884",240,431
"49","1801",211,215
"23","1110",119,239
"6","1427",757,895
"37","1499",247,975
"27","1844",15144,18671
"46","1570",1085,1027
"9","2076",9227,10992
"61","1709",595,738
"14","1466",41,56
"32","1755",144,145
"28","1361",1197,1453
"33","1766",1111,1156
"62","1247",271,1253
"6","1167",618,1282
"21","1962",713,752
"45","1793",5795,13490
"61","1548",504,474
"45","2087",5756,7090
"5","1938",67,86
"65","1372",2055,2083
"42","1422",1132,1489
"15","1874",693,2028
"51","1201",320,477
"25","2045",8493,8797
"35","1334",1882,2490
"10","1169",605,833
"32","1456",2166,2300
"18","1963",55,49
"6","1658",1242,1751
"42","1827",6732,8698
"65","1786",0,0
"54","1123",2157,2132
"55","1849",9085,9065
"55","1993",637,644
"7","2035",2432,2658
"42","1848",49,151
"56","1878",70,122
"24","1460",115,254
"44","1265",666,744
"31","1792",2937,4619
"38","1727",1211,1245
"35","1826",5992,7534
"28","1465",3386,3407
"48","2090",2280,4170
"20","1233",452,502
"34","2014",14621,19448
"55","1164",6113,6159
"43","1802",168,157
"42","1222",5676,8045
"81","1116",1504,1500
"8","1653",960,964
"38","1603",423,855
"63","1630",5600,6673
"54","1453",708,704
"35","1467",1189,1511
"47","1547",4442,5496
"38","1330",499,617
"21","1249",645,668
"62","1518",21,16
"21","1278",4228,10706
"39","1572",61,65
"61","1681",193,192
"12","1996",109,298
"48","1331",13998,16549
"34","1449",8794,11070
"53","1146",1571,1513
"29","1971",133,140
"31","2082",6703,6648
"7","2036",1161,1651
"6","1130",12708,15006
"57","1156",508,486
"43","1898",204,461
"10","1824",1323,1480
"24","1459",163,420
"19","1976",51,96
"20","1224",577,746
"28","1324",775,809
"3","1771",458,554
"29","1822",153,236
"38","1409",974,1266
"44","1286",478,518
"41","2030",1144,1410
"61","1150",1308,1492
"48","1695",1403,1753
"42","1933",693,1226
"17","1293",723,803
"47","1526",904,1115
"3","1281",4418,4904
"59","1258",6869,7481
"54","2070",3650,4023
"41","2060",4839,5224
"51","1225",884,3613
"34","1327",16403,18934
"1","2033",7873,7944
"34","1336",8207,9397
"20","1840",1373,1582
"6","1231",34382,36127
"38","1715",1052,1039
"42","1617",4914,5355
"7","1303",2859,4067
"68","2106",1848,1955
"27","1841",8618,10389
"25","1551",314,795
"11","1636",531,783
"50","1707",1602,1467
"19","1558",3679,3647
"59","1250",3806,4365
"57","1910",149,165
"6","1924",51,50
"79","2023",102,207
"46","1975",172,195
"15","1672",427,755
"20","1426",809,976
"32","1297",1157,1135
"13","1394",662,2010
"45","1470",1868,2027
"1","1219",5339,5910
"38","1864",37463,42210
"54","1925",638,630
"33","1892",569,1297
"34","1325",11174,13886
"59","1825",2409,2674
"26","1808",33,25
"41","1355",3617,3719
"42","1735",5970,12373
"53","1428",1223,4684
"74","1496",68,51
"6","1922",10617,11872
"21","1253",3279,3298
"9","1206",1326,1667
"3","1906",770,1259
"75","2008",620,1176
"6","1578",6258,6407
"76","2011",46,34
"47","1474",3273,3749
"78","1296",0,0
"6","1227",158,155
"21","2042",6146,8188
"16","1411",12948,15758
"31","1585",3379,3303
"7","1333",7173,16743
"43","1132",524,548
"6","1539",1500,1509
"7","1337",3672,5757
"11","1948",39,60
"58","1376",299,318
"35","1819",18071,20333
"35","1128",2733,3010
"57","1693",85,168
"23","1506",228,222
"22","1412",1166,1206
"21","1315",2439,2583
"37","1221",495,504
"9","1497",7925,8147
"45","1634",2649,2687
"54","2071",4387,4707
"78","1587",486,384
"34","1183",12895,14384
"50","1749",524,568
"41","2062",9210,9884
"42","1441",3241,5398
"48","1266",1185,1383
"25","1674",720,720
"60","1129",1153,1727
"34","2053",127748,144993
"75","1252",57,100
"57","1204",388,456
"42","1868",1272,2137
"34","2015",12202,16026
"34","1823",25037,29060
"25","1812",1229,1283
"54","1595",2125,2269
"20","1597",865,1153
"8","1736",3497,4975
"32","1929",1938,1936
"27","1415",4130,4159
"56","1575",97,247
"36","1279",243,442
"81","1730",314,522
"45","1613",2362,2879
"61","1507",611,681
"18","1555",40,97
"61","1775",428,455
"10","1191",1568,2509
"66","1635",1683,2070
"1","1588",516,536
"28","1837",2000,5987
"31","1413",4297,6693
"50","1155",4761,4702
"48","2089",5743,6922
"10","1619",918,1094
"61","1896",395,381
"5","1668",1517,1668
"45","1600",2645,5103
"28","1893",206,640
"66","1117",1167,1365
"63","1209",790,763
"34","1604",26218,32597
"27","1139",553,577
"34","1237",5870,7071
"1","1687",625,712
"36","1424",798,1232
"46","1694",1127,1136
"37","1277",215,277
"47","2088",3110,4791
"42","1907",297,488
"3","1639",1059,2102
"10","2077",13500,14564
"59","1652",2649,3251
"26","1527",40,30
"55","2074",7697,7861
"41","1338",10969,9992
"42","1207",1083,1477
"14","1531",4847,4986
"10","1216",5656,6305
"10","1462",1151,1742
"21","1195",4088,4387
"12","1344",104,84
"16","1935",3953,4138
"78","1856",83,62
"23","1631",206,393
"43","1790",241,819
"10","1294",7724,10983
"4","1379",578,1431
"4","1301",1836,3091
"57","1981",12,10
"80","2029",1068,1534
"35","1682",6836,12313
"54","1391",2021,2085
"3","1809",500,717
"16","1553",996,1177
"56","1662",10,40
"25","1392",803,815
"46","1299",3246,3222
"47","2002",204,344
"55","1763",332,332
"73","1189",163,140
"18","1494",9,44
"53","1569",516,480
"37","1984",145,231
"55","2073",4693,4768
"9","1968",4516,5073
"28","1654",3243,3405
"34","1708",31621,40258
"20","1371",396,443
"35","2007",7349,10799
"72","1345",325,710
"29","1458",3125,3103
"7","1811",8089,19192
"36","1149",255,266
"16","1343",3930,4134
"16","1783",561,876
"43","1339",1132,1349
"33","1779",765,899
"12","1855",0,0
"34","1739",8213,9257
"33","2066",7909,9195
"35","2018",1414,1634
"2","1182",3783,4062
"11","1571",735,843
"67","1926",757,900
"73","1623",2980,3583
"10","1384",1640,2613
"54","1833",1427,1626
"67","2100",745,806
"71","1268",422,524
"58","1870",5,5
"60","1151",60,64
"37","1666",1212,1234
"36","1645",352,802
"15","1109",144,138
"3","1267",481,557
"13","1112",808,795
"52","1951",396,461
"58","1875",258,263
"53","1908",274,280
"80","1423",2597,3096
"43","1764",296,301
"49","1964",273,395
"34","1810",17996,28370
"34","2048",8278,10056
"74","1701",545,729
"28","1320",3130,3890
"35","1677",2917,4483
"76","1692",356,431
"18","1718",40,48
"10","1291",1420,1554
"42","1262",1543,3133
"35","1776",752,1010
"62","1541",327,439
"3","1961",105,124
"34","1166",12133,13540
"38","1605",590,1213
"67","2101",1287,1536
"42","1598",5347,7038
"34","1185",10195,13133
"35","2006",3470,3977
"50","1374",265,269
"58","1407",1126,3915
"6","1745",16613,19012
"38","1978",84,86
"42","1312",8402,13608
"67","1276",1184,1429
"59","2095",3121,3678
"81","2031",677,687
"13","1669",1198,1439
"25","1540",1309,1307
"59","1538",1906,2052
"37","1410",429,441
"65","1533",1390,5971
"3","1944",194,286
"61","1647",713,799
"79","2025",111,277
"35","1477",2307,2965
"37","1845",163,207
"36","1614",268,286
"20","1226",636,1079
"42","1375",120,104
"10","1928",814,824
"2","1354",3594,3602
"42","1188",15923,16945
"73","1698",572,757
"3","1200",1468,1910
"75","1579",959,2711
"66","1982",34,26
"2","1985",485,1150
"35","1251",3513,3422
"27","1549",1331,1652
"22","1705",2323,2509
"27","1974",1480,1678
"14","1364",2466,2819
"16","1535",7406,8093
"7","1959",3804,4590
"65","1980",440,1288
"55","1501",329,378
"60","1690",4290,4361
"6","1187",7319,7433
"59","1388",1438,2125
"81","1784",275,266
"69","1788",0,0
"61","1141",1428,1433
"26","1777",11,9
"25","1851",339,395
"35","1703",4585,4800
"45","1965",4296,5027
"23","1873",114,233
"70","1316",6386,12152
"1","1757",347,336
"42","1839",14865,16904
"7","2039",19344,22250
"34","2005",14808,19626
"35","1280",2977,3291
"4","1283",4151,5792
"32","1154",226,282
"11","1559",308,455
"60","1584",569,564
"23","1455",531,1143
"16","1829",16567,18278
"32","1699",277,775
"60","1883",22,47
"55","1234",2901,3208
"1","1486",2645,3190
"78","1561",12,10
"18","1765",179,473
"42","1491",1645,2246
"19","1177",339,325
"16","1457",465,537
"17","1503",992,1308
"47","1519",432,634
"63","1800",858,902
"47","1609",1230,2523
"67","1313",3896,5570
"39","1505",7081,14651
"3","1626",762,811
"9","1957",544,584
"26","1632",115,86
"1","1580",1425,1392
"54","2069",1793,2052
"32","1648",332,330
"54","1986",382,361
"17","1340",1225,1229
"34","2003",10251,11697
"14","1997",0,0
"7","1616",9448,25859
"32","1651",2123,3154
"2","1246",3332,3562
"10","1360",4963,10755
"33","1311",12414,13728
